,cell_type,batch,condition,donor,n_counts
cell_03303,NK_cell,batch_2,healthy,donor_1,1300
cell_03304,NK_cell,batch_2,disease,donor_4,1590
cell_03305,NK_cell,batch_1,disease,donor_3,1460
cell_03306,NK_cell,batch_1,healthy,donor_3,1380
cell_03307,NK_cell,batch_2,healthy,donor_1,1480
cell_03308,NK_cell,batch_2,healthy,donor_2,1342
cell_03309,NK_cell,batch_0,disease,donor_5,1351
cell_03310,NK_cell,batch_0,healthy,donor_3,1442
cell_03311,NK_cell,batch_1,healthy,donor_4,1357
cell_03312,NK_cell,batch_0,disease,donor_0,1314
cell_03313,NK_cell,batch_0,disease,donor_0,1182
cell_03314,NK_cell,batch_1,disease,donor_3,1068
cell_03315,NK_cell,batch_0,healthy,donor_3,1324
cell_03316,NK_cell,batch_1,disease,donor_1,1256
cell_03317,NK_cell,batch_1,healthy,donor_1,1267
cell_03318,NK_cell,batch_0,disease,donor_4,1426
cell_03319,NK_cell,batch_2,healthy,donor_1,1069
cell_03320,NK_cell,batch_1,healthy,donor_3,1201
cell_03321,NK_cell,batch_1,healthy,donor_4,1382
cell_03322,NK_cell,batch_1,disease,donor_3,1365
cell_03323,NK_cell,batch_1,healthy,donor_4,1395
cell_03324,NK_cell,batch_2,healthy,donor_4,1401
cell_03325,NK_cell,batch_1,healthy,donor_5,1301
cell_03326,NK_cell,batch_0,disease,donor_2,1359
cell_03327,NK_cell,batch_2,healthy,donor_3,1392
cell_03328,NK_cell,batch_1,disease,donor_4,1313
cell_03329,NK_cell,batch_1,healthy,donor_3,1275
cell_03330,NK_cell,batch_1,healthy,donor_0,1159
cell_03331,NK_cell,batch_2,healthy,donor_0,1277
cell_03332,NK_cell,batch_2,healthy,donor_1,1436
cell_03333,NK_cell,batch_1,healthy,donor_4,1178
cell_03334,NK_cell,batch_0,disease,donor_2,1467
cell_03335,NK_cell,batch_2,disease,donor_2,1343
cell_03336,NK_cell,batch_1,healthy,donor_4,1329
cell_03337,NK_cell,batch_2,healthy,donor_5,1269
cell_03338,NK_cell,batch_0,healthy,donor_2,1163
cell_03339,NK_cell,batch_2,disease,donor_0,1286
cell_03340,NK_cell,batch_2,healthy,donor_2,1577
cell_03341,NK_cell,batch_1,healthy,donor_3,1341
cell_03342,NK_cell,batch_2,healthy,donor_4,1262
cell_03343,NK_cell,batch_1,disease,donor_1,1421
cell_03344,NK_cell,batch_1,disease,donor_4,1255
cell_03345,NK_cell,batch_2,healthy,donor_5,1363
cell_03346,NK_cell,batch_2,healthy,donor_3,1248
cell_03347,NK_cell,batch_2,disease,donor_4,1329
cell_03348,NK_cell,batch_2,disease,donor_3,1269
cell_03349,NK_cell,batch_0,disease,donor_2,1233
cell_03350,NK_cell,batch_2,healthy,donor_2,1290
cell_03351,NK_cell,batch_1,disease,donor_5,1315
cell_03352,NK_cell,batch_2,healthy,donor_3,1395
cell_03353,NK_cell,batch_2,healthy,donor_2,1327
cell_03354,NK_cell,batch_2,healthy,donor_2,1358
cell_03355,NK_cell,batch_2,healthy,donor_4,1444
cell_03356,NK_cell,batch_1,disease,donor_0,1417
cell_03357,NK_cell,batch_0,healthy,donor_4,1389
cell_03358,NK_cell,batch_0,disease,donor_5,1362
cell_03359,NK_cell,batch_0,disease,donor_2,1244
cell_03360,NK_cell,batch_1,disease,donor_2,1497
cell_03361,NK_cell,batch_0,disease,donor_3,1387
cell_03362,NK_cell,batch_0,healthy,donor_3,1349
cell_03363,NK_cell,batch_1,healthy,donor_3,1517
cell_03364,NK_cell,batch_2,disease,donor_3,1440
cell_03365,NK_cell,batch_0,healthy,donor_0,1243
cell_03366,NK_cell,batch_1,disease,donor_0,1355
cell_03367,NK_cell,batch_0,healthy,donor_3,1459
cell_03368,NK_cell,batch_0,disease,donor_0,1408
cell_03369,NK_cell,batch_1,disease,donor_0,1307
cell_03370,NK_cell,batch_1,disease,donor_1,1328
cell_03371,NK_cell,batch_2,disease,donor_1,1392
cell_03372,NK_cell,batch_2,disease,donor_1,1436
cell_03373,NK_cell,batch_0,healthy,donor_4,1308
cell_03374,NK_cell,batch_1,disease,donor_0,1322
cell_03375,NK_cell,batch_2,disease,donor_2,1263
cell_03376,NK_cell,batch_0,disease,donor_1,1491
cell_03377,NK_cell,batch_0,disease,donor_4,1240
cell_03378,NK_cell,batch_2,disease,donor_0,1343
cell_03379,NK_cell,batch_0,disease,donor_3,1202
cell_03380,NK_cell,batch_0,healthy,donor_5,1348
cell_03381,NK_cell,batch_2,healthy,donor_0,1313
cell_03382,NK_cell,batch_1,healthy,donor_0,1545
cell_03383,NK_cell,batch_1,disease,donor_0,1234
cell_03384,NK_cell,batch_0,disease,donor_0,1234
cell_03385,NK_cell,batch_0,healthy,donor_3,1244
cell_03386,NK_cell,batch_2,healthy,donor_0,1261
cell_03387,NK_cell,batch_0,disease,donor_5,1211
cell_03388,NK_cell,batch_2,healthy,donor_3,1319
cell_03389,NK_cell,batch_1,disease,donor_2,1319
cell_03390,NK_cell,batch_0,disease,donor_1,1306
cell_03391,NK_cell,batch_1,healthy,donor_1,1449
cell_03392,NK_cell,batch_2,healthy,donor_3,1165
cell_03393,NK_cell,batch_2,healthy,donor_0,1365
cell_03394,NK_cell,batch_0,healthy,donor_3,1377
cell_03395,NK_cell,batch_1,healthy,donor_3,1043
cell_03396,NK_cell,batch_2,healthy,donor_1,1412
cell_03397,NK_cell,batch_0,healthy,donor_2,1269
cell_03398,NK_cell,batch_2,disease,donor_3,1195
cell_03399,NK_cell,batch_0,healthy,donor_0,1284
cell_03400,NK_cell,batch_0,healthy,donor_3,1315
cell_03401,NK_cell,batch_2,disease,donor_4,1460
cell_03402,NK_cell,batch_1,healthy,donor_3,1364
cell_03403,NK_cell,batch_2,healthy,donor_2,1329
cell_03404,NK_cell,batch_1,healthy,donor_4,1379
cell_03405,NK_cell,batch_1,disease,donor_1,1319
cell_03406,NK_cell,batch_2,disease,donor_0,1266
cell_03407,NK_cell,batch_2,healthy,donor_2,1246
cell_03408,NK_cell,batch_2,healthy,donor_2,1315
cell_03409,NK_cell,batch_0,healthy,donor_0,1304
cell_03410,NK_cell,batch_2,healthy,donor_5,1180
cell_03411,NK_cell,batch_1,disease,donor_4,1495
cell_03412,NK_cell,batch_0,healthy,donor_3,1248
cell_03413,NK_cell,batch_1,healthy,donor_5,1311
cell_03414,NK_cell,batch_1,disease,donor_2,1356
cell_03415,NK_cell,batch_2,disease,donor_4,1352
cell_03416,NK_cell,batch_1,healthy,donor_3,1325
cell_03417,NK_cell,batch_0,healthy,donor_3,1183
cell_03418,NK_cell,batch_0,disease,donor_1,1167
cell_03419,NK_cell,batch_1,healthy,donor_4,1266
cell_03420,NK_cell,batch_0,disease,donor_4,1523
cell_03421,NK_cell,batch_0,disease,donor_3,1449
cell_03422,NK_cell,batch_2,disease,donor_4,1239
cell_03423,NK_cell,batch_0,disease,donor_0,1435
cell_03424,NK_cell,batch_1,disease,donor_4,1584
cell_03425,NK_cell,batch_1,healthy,donor_4,1287
cell_03426,NK_cell,batch_1,healthy,donor_3,1521
cell_03427,NK_cell,batch_1,healthy,donor_4,1339
cell_03428,NK_cell,batch_1,healthy,donor_2,1287
cell_03429,NK_cell,batch_0,healthy,donor_2,1457
cell_03430,NK_cell,batch_2,disease,donor_0,1367
cell_03431,NK_cell,batch_1,disease,donor_0,1188
cell_03432,NK_cell,batch_2,disease,donor_3,1374
cell_03433,NK_cell,batch_0,healthy,donor_2,1284
cell_03434,NK_cell,batch_2,healthy,donor_5,1353
cell_03435,NK_cell,batch_0,healthy,donor_2,1305
cell_03436,NK_cell,batch_2,healthy,donor_5,1185
cell_03437,NK_cell,batch_2,healthy,donor_0,1294
cell_03438,NK_cell,batch_0,disease,donor_1,1217
cell_03439,NK_cell,batch_1,healthy,donor_2,1265
cell_03440,NK_cell,batch_0,healthy,donor_3,1364
cell_03441,NK_cell,batch_1,disease,donor_2,1271
cell_03442,NK_cell,batch_0,healthy,donor_2,1340
cell_03443,NK_cell,batch_2,healthy,donor_3,1334
cell_03444,NK_cell,batch_0,disease,donor_2,1318
cell_03445,NK_cell,batch_1,healthy,donor_2,1443
cell_03446,NK_cell,batch_2,disease,donor_5,1308
cell_03447,NK_cell,batch_1,healthy,donor_3,1219
cell_03448,NK_cell,batch_2,healthy,donor_1,1325
cell_03449,NK_cell,batch_0,disease,donor_2,1367
cell_03450,NK_cell,batch_1,healthy,donor_3,1270
cell_03451,NK_cell,batch_1,healthy,donor_1,1279
cell_03452,NK_cell,batch_1,healthy,donor_5,1265
cell_03453,NK_cell,batch_0,healthy,donor_2,1433
cell_03454,NK_cell,batch_1,healthy,donor_3,1505
cell_03455,NK_cell,batch_0,disease,donor_5,1404
cell_03456,NK_cell,batch_0,healthy,donor_2,1271
cell_03457,NK_cell,batch_1,disease,donor_0,1439
cell_03458,NK_cell,batch_2,healthy,donor_2,1174
cell_03459,NK_cell,batch_0,healthy,donor_5,1242
cell_03460,NK_cell,batch_1,healthy,donor_5,1440
cell_03461,NK_cell,batch_2,disease,donor_5,1283
cell_03462,NK_cell,batch_2,disease,donor_4,1319
cell_03463,NK_cell,batch_2,healthy,donor_2,1403
cell_03464,NK_cell,batch_2,healthy,donor_3,1309
cell_03465,NK_cell,batch_1,healthy,donor_2,1398
cell_03466,NK_cell,batch_0,disease,donor_3,1301
cell_03467,NK_cell,batch_2,disease,donor_4,1224
cell_03468,NK_cell,batch_2,healthy,donor_5,1266
cell_03469,NK_cell,batch_1,disease,donor_4,1485
cell_03470,NK_cell,batch_1,disease,donor_3,1285
cell_03471,NK_cell,batch_1,healthy,donor_5,1418
cell_03472,NK_cell,batch_2,disease,donor_5,1160
cell_03473,NK_cell,batch_2,disease,donor_1,1344
cell_03474,NK_cell,batch_1,healthy,donor_1,1284
cell_03475,NK_cell,batch_2,disease,donor_2,1200
cell_03476,NK_cell,batch_2,healthy,donor_5,1441
cell_03477,NK_cell,batch_0,disease,donor_4,1221
cell_03478,NK_cell,batch_2,disease,donor_5,1130
cell_03479,NK_cell,batch_1,healthy,donor_3,1525
cell_03480,NK_cell,batch_1,disease,donor_5,1428
cell_03481,NK_cell,batch_2,disease,donor_2,1321
cell_03482,NK_cell,batch_2,healthy,donor_0,1410
cell_03483,NK_cell,batch_2,disease,donor_5,1151
cell_03484,NK_cell,batch_1,healthy,donor_3,1343
cell_03485,NK_cell,batch_0,healthy,donor_3,1269
cell_03486,NK_cell,batch_2,healthy,donor_1,1358
cell_03487,NK_cell,batch_0,healthy,donor_0,1190
cell_03488,NK_cell,batch_0,healthy,donor_0,1406
cell_03489,NK_cell,batch_1,healthy,donor_4,1365
cell_03490,NK_cell,batch_2,healthy,donor_5,1318
cell_03491,NK_cell,batch_2,disease,donor_1,1224
cell_03492,NK_cell,batch_1,healthy,donor_0,1292
cell_03493,NK_cell,batch_0,disease,donor_4,1431
cell_03494,NK_cell,batch_2,healthy,donor_2,1311
cell_03495,NK_cell,batch_0,disease,donor_3,1442
cell_03496,NK_cell,batch_0,disease,donor_3,1412
cell_03497,NK_cell,batch_2,healthy,donor_2,1347
cell_03498,NK_cell,batch_2,healthy,donor_4,1214
cell_03499,NK_cell,batch_1,healthy,donor_0,1311
cell_03500,NK_cell,batch_1,disease,donor_1,1299
cell_03501,NK_cell,batch_0,healthy,donor_0,1371
cell_03502,NK_cell,batch_1,healthy,donor_5,1215
cell_03503,NK_cell,batch_2,healthy,donor_4,1322
cell_03504,NK_cell,batch_2,healthy,donor_3,1355
cell_03505,NK_cell,batch_0,healthy,donor_5,1417
cell_03506,NK_cell,batch_2,disease,donor_4,1436
cell_03507,NK_cell,batch_1,healthy,donor_4,1210
cell_03508,NK_cell,batch_1,healthy,donor_4,1345
cell_03509,NK_cell,batch_2,healthy,donor_4,1365
cell_03510,NK_cell,batch_1,disease,donor_0,1280
cell_03511,NK_cell,batch_0,disease,donor_2,1284
cell_03512,NK_cell,batch_2,disease,donor_3,1387
cell_03513,NK_cell,batch_2,disease,donor_5,1208
cell_03514,NK_cell,batch_0,disease,donor_2,1451
cell_03515,NK_cell,batch_0,healthy,donor_0,1172
cell_03516,NK_cell,batch_0,disease,donor_2,1294
cell_03517,NK_cell,batch_2,healthy,donor_3,1178
cell_03518,NK_cell,batch_2,healthy,donor_3,1334
cell_03519,NK_cell,batch_0,healthy,donor_0,1237
cell_03520,NK_cell,batch_1,disease,donor_0,1387
cell_03521,NK_cell,batch_2,disease,donor_2,1530
cell_03522,NK_cell,batch_0,healthy,donor_2,1311
cell_03523,NK_cell,batch_1,disease,donor_0,1334
cell_03524,NK_cell,batch_2,disease,donor_5,1373
cell_03525,NK_cell,batch_2,healthy,donor_2,1446
cell_03526,NK_cell,batch_2,healthy,donor_5,1326
cell_03527,NK_cell,batch_2,healthy,donor_3,1330
cell_03528,NK_cell,batch_2,disease,donor_3,1209
cell_03529,NK_cell,batch_0,disease,donor_3,1282
cell_03530,NK_cell,batch_0,disease,donor_2,1534
cell_03531,NK_cell,batch_1,disease,donor_1,1613
cell_03532,NK_cell,batch_2,healthy,donor_1,1196
cell_03533,NK_cell,batch_0,disease,donor_3,1282
cell_03534,NK_cell,batch_1,disease,donor_1,1290
cell_03535,NK_cell,batch_0,disease,donor_5,1384
cell_03536,NK_cell,batch_1,healthy,donor_5,1335
cell_03537,NK_cell,batch_2,healthy,donor_5,1256
cell_03538,NK_cell,batch_2,healthy,donor_3,1265
cell_03539,NK_cell,batch_2,disease,donor_2,1372
cell_03540,NK_cell,batch_0,disease,donor_4,1228
cell_03541,NK_cell,batch_1,healthy,donor_2,1356
cell_03542,NK_cell,batch_0,healthy,donor_4,1386
cell_03543,NK_cell,batch_0,disease,donor_1,1296
cell_03544,NK_cell,batch_0,healthy,donor_2,1265
cell_03545,NK_cell,batch_0,healthy,donor_3,1305
cell_03546,NK_cell,batch_2,disease,donor_2,1195
cell_03547,NK_cell,batch_0,healthy,donor_0,1323
cell_03548,NK_cell,batch_0,healthy,donor_0,1435
cell_03549,NK_cell,batch_1,healthy,donor_3,1229
cell_03550,NK_cell,batch_0,healthy,donor_0,1403
cell_03551,NK_cell,batch_0,healthy,donor_3,1249
cell_03552,NK_cell,batch_0,healthy,donor_4,1329
cell_03553,NK_cell,batch_0,disease,donor_1,1162
cell_03554,NK_cell,batch_2,disease,donor_0,1443
cell_03555,NK_cell,batch_1,disease,donor_3,1344
cell_03556,NK_cell,batch_0,healthy,donor_5,1401
cell_03557,NK_cell,batch_2,healthy,donor_0,1365
cell_03558,NK_cell,batch_1,disease,donor_1,1264
cell_03559,NK_cell,batch_0,healthy,donor_5,1340
cell_03560,NK_cell,batch_2,disease,donor_1,1284
cell_03561,NK_cell,batch_1,healthy,donor_1,1197
cell_03562,NK_cell,batch_0,disease,donor_0,1265
cell_03563,NK_cell,batch_0,disease,donor_3,1424
cell_03564,NK_cell,batch_0,healthy,donor_5,1337
cell_03565,NK_cell,batch_1,healthy,donor_1,1260
cell_03566,NK_cell,batch_2,healthy,donor_3,1373
cell_03567,NK_cell,batch_2,disease,donor_3,1184
cell_03568,NK_cell,batch_1,healthy,donor_5,1544
cell_03569,NK_cell,batch_1,healthy,donor_1,1555
cell_03570,NK_cell,batch_2,healthy,donor_3,1244
cell_03571,NK_cell,batch_0,healthy,donor_3,1297
cell_03572,NK_cell,batch_1,healthy,donor_5,1373
cell_03573,NK_cell,batch_2,healthy,donor_2,1272
cell_03574,NK_cell,batch_1,healthy,donor_2,1386
cell_03575,NK_cell,batch_2,disease,donor_0,1336
cell_03576,NK_cell,batch_0,healthy,donor_5,1280
cell_03577,NK_cell,batch_2,healthy,donor_3,1275
cell_03578,NK_cell,batch_1,disease,donor_2,1259
cell_03579,NK_cell,batch_0,disease,donor_0,1267
cell_03580,NK_cell,batch_2,disease,donor_3,1271
cell_03581,NK_cell,batch_2,healthy,donor_3,1187
cell_03582,NK_cell,batch_2,healthy,donor_5,1239
cell_03583,NK_cell,batch_0,healthy,donor_0,1497
cell_03584,NK_cell,batch_1,disease,donor_5,1263
cell_03585,NK_cell,batch_0,healthy,donor_0,1135
cell_03586,NK_cell,batch_2,healthy,donor_5,1288
cell_03587,NK_cell,batch_0,healthy,donor_2,1417
cell_03588,NK_cell,batch_2,healthy,donor_1,1430
cell_03589,NK_cell,batch_0,disease,donor_1,1397
cell_03590,NK_cell,batch_1,healthy,donor_1,1378
cell_03591,NK_cell,batch_0,disease,donor_0,1174
cell_03592,NK_cell,batch_2,disease,donor_4,1402
cell_03593,NK_cell,batch_0,healthy,donor_2,1489
cell_03594,NK_cell,batch_2,healthy,donor_0,1294
cell_03595,NK_cell,batch_0,healthy,donor_2,1481
cell_03596,NK_cell,batch_2,healthy,donor_2,1274
cell_03597,NK_cell,batch_2,healthy,donor_5,1257
cell_03598,NK_cell,batch_0,disease,donor_1,1355
cell_03599,NK_cell,batch_1,healthy,donor_3,1233
cell_03600,NK_cell,batch_2,disease,donor_2,1367
cell_03601,NK_cell,batch_2,disease,donor_1,1398
cell_03602,NK_cell,batch_2,healthy,donor_2,1619
cell_03603,NK_cell,batch_2,healthy,donor_1,1419
cell_03604,NK_cell,batch_2,healthy,donor_0,1404
cell_03605,NK_cell,batch_0,disease,donor_0,1250
cell_03606,NK_cell,batch_1,healthy,donor_2,1123
cell_03607,NK_cell,batch_1,healthy,donor_0,1266
cell_03608,NK_cell,batch_2,disease,donor_5,1246
cell_03609,NK_cell,batch_0,disease,donor_5,1340
cell_03610,NK_cell,batch_2,disease,donor_3,1461
cell_03611,NK_cell,batch_2,healthy,donor_0,1248
cell_03612,NK_cell,batch_2,healthy,donor_3,1197
cell_03613,NK_cell,batch_2,disease,donor_4,1388
cell_03614,NK_cell,batch_0,disease,donor_2,1221
cell_03615,NK_cell,batch_2,healthy,donor_4,1358
cell_03616,NK_cell,batch_0,healthy,donor_3,1201
cell_03617,NK_cell,batch_2,healthy,donor_5,1483
cell_03618,NK_cell,batch_1,healthy,donor_3,1339
cell_03619,NK_cell,batch_0,disease,donor_1,1417
cell_03620,NK_cell,batch_0,healthy,donor_1,1319
cell_03621,NK_cell,batch_0,healthy,donor_1,1201
cell_03622,NK_cell,batch_2,healthy,donor_5,1387
cell_03623,NK_cell,batch_2,healthy,donor_2,1392
cell_03624,NK_cell,batch_0,healthy,donor_2,1353
cell_03625,NK_cell,batch_0,disease,donor_3,1180
cell_03626,NK_cell,batch_2,healthy,donor_1,1382
cell_03627,NK_cell,batch_2,healthy,donor_5,1465
cell_03628,NK_cell,batch_2,healthy,donor_4,1279
cell_03629,NK_cell,batch_0,disease,donor_5,1381
cell_03630,NK_cell,batch_2,disease,donor_0,1343
cell_03631,NK_cell,batch_2,disease,donor_1,1509
cell_03632,NK_cell,batch_1,disease,donor_2,1407
cell_03633,NK_cell,batch_1,healthy,donor_0,1338
cell_03634,NK_cell,batch_1,healthy,donor_2,1394
cell_03635,NK_cell,batch_0,disease,donor_4,1212
cell_03636,NK_cell,batch_0,healthy,donor_2,1312
cell_03637,NK_cell,batch_0,healthy,donor_1,1496
cell_03638,NK_cell,batch_2,disease,donor_5,1301
cell_03639,NK_cell,batch_2,healthy,donor_1,1448
cell_03640,NK_cell,batch_2,healthy,donor_0,1242
cell_03641,NK_cell,batch_1,healthy,donor_5,1195
cell_03642,NK_cell,batch_0,healthy,donor_1,1368
cell_03643,NK_cell,batch_2,healthy,donor_1,1493
cell_03644,NK_cell,batch_2,healthy,donor_0,1326
cell_03645,NK_cell,batch_1,disease,donor_5,1220
cell_03646,NK_cell,batch_1,healthy,donor_2,1240
cell_03647,NK_cell,batch_1,healthy,donor_3,1314
cell_03648,NK_cell,batch_2,healthy,donor_1,1332
cell_03649,NK_cell,batch_2,disease,donor_5,1350
cell_03650,NK_cell,batch_1,disease,donor_4,1292
cell_03651,NK_cell,batch_2,disease,donor_2,1225
cell_03652,NK_cell,batch_1,healthy,donor_0,1406
cell_03653,NK_cell,batch_1,healthy,donor_3,1447
cell_03654,NK_cell,batch_1,healthy,donor_2,1323
cell_03655,NK_cell,batch_0,healthy,donor_5,1260
cell_03656,NK_cell,batch_2,disease,donor_0,1296
cell_03657,NK_cell,batch_0,healthy,donor_4,1335
cell_03658,NK_cell,batch_1,healthy,donor_1,1267
cell_03659,NK_cell,batch_2,disease,donor_3,1405
cell_03660,NK_cell,batch_0,healthy,donor_5,1242
cell_03661,NK_cell,batch_2,healthy,donor_2,1379
cell_03662,NK_cell,batch_2,disease,donor_4,1415
cell_03663,NK_cell,batch_0,disease,donor_2,1272
cell_03664,NK_cell,batch_0,healthy,donor_1,1265
cell_03665,NK_cell,batch_2,healthy,donor_5,1484
cell_03666,NK_cell,batch_1,healthy,donor_0,1272
cell_03667,NK_cell,batch_2,healthy,donor_1,1158
cell_03668,NK_cell,batch_0,disease,donor_0,1512
cell_03669,NK_cell,batch_1,healthy,donor_0,1272
cell_03670,NK_cell,batch_0,disease,donor_3,1415
cell_03671,NK_cell,batch_2,healthy,donor_2,1244
cell_03672,NK_cell,batch_0,healthy,donor_5,1328
cell_03673,NK_cell,batch_1,disease,donor_5,1239
cell_03674,NK_cell,batch_1,healthy,donor_2,1144
cell_03675,NK_cell,batch_0,disease,donor_2,1208
cell_03676,NK_cell,batch_2,healthy,donor_0,1419
cell_03677,NK_cell,batch_0,healthy,donor_5,1360
cell_03678,NK_cell,batch_0,healthy,donor_0,1279
cell_03679,NK_cell,batch_0,disease,donor_4,1392
cell_03680,NK_cell,batch_1,healthy,donor_4,1239
cell_03681,NK_cell,batch_2,healthy,donor_3,1249
cell_03682,NK_cell,batch_0,healthy,donor_4,1381
cell_03683,NK_cell,batch_0,healthy,donor_1,1258
cell_03684,NK_cell,batch_2,disease,donor_1,1183
cell_03685,NK_cell,batch_0,disease,donor_0,1319
cell_03686,NK_cell,batch_1,disease,donor_4,1247
cell_03687,NK_cell,batch_1,healthy,donor_0,1130
cell_03688,NK_cell,batch_2,healthy,donor_0,1353
cell_03689,NK_cell,batch_0,healthy,donor_3,1183
cell_03690,NK_cell,batch_0,healthy,donor_0,1409
cell_03691,NK_cell,batch_0,disease,donor_3,1426
cell_03692,NK_cell,batch_0,healthy,donor_2,1053
cell_03693,NK_cell,batch_0,healthy,donor_4,1257
cell_03694,NK_cell,batch_0,healthy,donor_4,1205
cell_03695,NK_cell,batch_0,disease,donor_4,1232
cell_03696,NK_cell,batch_0,healthy,donor_4,1239
cell_03697,NK_cell,batch_0,healthy,donor_0,1254
cell_03698,NK_cell,batch_0,healthy,donor_0,1317
cell_03699,NK_cell,batch_2,healthy,donor_1,1221
cell_03700,NK_cell,batch_2,disease,donor_3,1321
cell_03701,NK_cell,batch_0,healthy,donor_2,1371
cell_03702,NK_cell,batch_2,disease,donor_4,1354
cell_03703,NK_cell,batch_0,disease,donor_4,1229
cell_03704,NK_cell,batch_2,healthy,donor_1,1373
cell_03705,NK_cell,batch_2,disease,donor_5,1410
cell_03706,NK_cell,batch_2,healthy,donor_1,1229
cell_03707,NK_cell,batch_1,healthy,donor_1,1208
cell_03708,NK_cell,batch_1,healthy,donor_2,1235
cell_03709,NK_cell,batch_2,disease,donor_0,1247
cell_03710,NK_cell,batch_1,disease,donor_1,1349
cell_03711,NK_cell,batch_2,healthy,donor_4,1393
cell_03712,NK_cell,batch_2,healthy,donor_5,1113
cell_03713,NK_cell,batch_1,healthy,donor_4,1400
cell_03714,NK_cell,batch_0,disease,donor_4,1259
cell_03715,NK_cell,batch_0,healthy,donor_3,1389
cell_03716,NK_cell,batch_0,healthy,donor_3,1324
cell_03717,NK_cell,batch_2,disease,donor_3,1320
cell_03718,NK_cell,batch_1,healthy,donor_3,1369
cell_03719,NK_cell,batch_0,disease,donor_2,1306
cell_03720,NK_cell,batch_0,disease,donor_0,1289
cell_03721,NK_cell,batch_1,healthy,donor_0,1333
cell_03722,NK_cell,batch_1,disease,donor_3,1328
cell_03723,NK_cell,batch_1,disease,donor_0,1399
cell_03724,NK_cell,batch_1,healthy,donor_0,1203
cell_03725,NK_cell,batch_2,healthy,donor_0,1243
cell_03726,NK_cell,batch_0,healthy,donor_5,1454
cell_03727,NK_cell,batch_1,healthy,donor_5,1237
cell_03728,NK_cell,batch_0,disease,donor_3,1338
cell_03729,NK_cell,batch_2,healthy,donor_5,1409
cell_03730,NK_cell,batch_0,healthy,donor_2,1367
cell_03731,NK_cell,batch_0,disease,donor_3,1283
cell_03732,NK_cell,batch_0,healthy,donor_4,1347
cell_03733,NK_cell,batch_2,disease,donor_4,1292
cell_03734,NK_cell,batch_2,disease,donor_0,1216
cell_03735,NK_cell,batch_2,disease,donor_3,1343
cell_03736,NK_cell,batch_2,disease,donor_3,1226
cell_03737,NK_cell,batch_2,disease,donor_5,1350
cell_03738,NK_cell,batch_1,healthy,donor_2,1363
cell_03739,NK_cell,batch_2,disease,donor_1,1374
cell_03740,NK_cell,batch_1,healthy,donor_1,1397
cell_03741,NK_cell,batch_0,healthy,donor_4,1325
cell_03742,NK_cell,batch_0,healthy,donor_4,1394
cell_03743,NK_cell,batch_2,disease,donor_2,1370
cell_03744,NK_cell,batch_0,healthy,donor_5,1237
cell_03745,NK_cell,batch_2,healthy,donor_2,1306
cell_03746,NK_cell,batch_2,disease,donor_3,1260
cell_03747,NK_cell,batch_0,healthy,donor_3,1249
cell_03748,NK_cell,batch_0,disease,donor_5,1409
cell_03749,NK_cell,batch_2,healthy,donor_0,1480
cell_03750,NK_cell,batch_2,disease,donor_3,1218
cell_03751,NK_cell,batch_1,healthy,donor_0,1252
cell_03752,NK_cell,batch_1,healthy,donor_4,1136
cell_03753,NK_cell,batch_0,disease,donor_0,1323
cell_03754,NK_cell,batch_1,healthy,donor_4,1209
cell_03755,NK_cell,batch_0,disease,donor_1,1445
cell_03756,NK_cell,batch_2,healthy,donor_3,1302
cell_03757,NK_cell,batch_2,disease,donor_3,1394
cell_03758,NK_cell,batch_2,healthy,donor_2,1282
cell_03759,NK_cell,batch_0,disease,donor_2,1170
cell_03760,NK_cell,batch_2,disease,donor_2,1333
cell_03761,NK_cell,batch_2,healthy,donor_0,1479
cell_03762,NK_cell,batch_2,healthy,donor_3,1376
cell_03763,NK_cell,batch_0,healthy,donor_3,1418
cell_03764,NK_cell,batch_2,healthy,donor_4,1274
cell_03765,NK_cell,batch_0,disease,donor_0,1323
cell_03766,NK_cell,batch_0,healthy,donor_0,1260
cell_03767,NK_cell,batch_2,healthy,donor_3,1365
cell_03768,NK_cell,batch_2,healthy,donor_1,1284
cell_03769,NK_cell,batch_0,healthy,donor_4,1349
cell_03770,NK_cell,batch_2,healthy,donor_1,1225
cell_03771,NK_cell,batch_0,disease,donor_0,1201
cell_03772,NK_cell,batch_1,disease,donor_3,1474
cell_03773,NK_cell,batch_0,healthy,donor_0,1378
cell_03774,NK_cell,batch_0,healthy,donor_1,1280
cell_03775,NK_cell,batch_2,healthy,donor_3,1213
cell_03776,NK_cell,batch_2,healthy,donor_5,1332
cell_03777,NK_cell,batch_0,healthy,donor_1,1220
cell_03778,NK_cell,batch_0,disease,donor_2,1289
cell_03779,NK_cell,batch_2,healthy,donor_5,1545
cell_03780,NK_cell,batch_2,healthy,donor_5,1339
cell_03781,NK_cell,batch_1,disease,donor_3,1270
cell_03782,NK_cell,batch_1,disease,donor_5,1360
cell_03783,NK_cell,batch_0,healthy,donor_0,1346
cell_03784,NK_cell,batch_2,disease,donor_1,1227
cell_03785,NK_cell,batch_1,disease,donor_5,1330
cell_03786,NK_cell,batch_0,disease,donor_5,1441
cell_03787,NK_cell,batch_1,healthy,donor_0,1381
cell_03788,NK_cell,batch_2,healthy,donor_3,1340
cell_03789,NK_cell,batch_2,healthy,donor_5,1209
cell_03790,NK_cell,batch_2,healthy,donor_3,1428
